Time,Abs,Temp
1365,0.102289185,299.272606
1368,0.097531646,299.275341
1370,0.097213887,299.23604
1373,0.098379418,299.222867
1374,0.096911818,299.20512
1375,0.099674806,299.224133
1376,0.09753035,299.203776
1378,0.09568461,299.195348
1379,0.096821517,299.18879
1380,0.096619919,299.182766
1383,0.093930744,299.144192
1384,0.100872405,299.141888
1386,0.096242465,299.132917
1389,0.096193008,299.088599
1391,0.098613307,299.086869
1392,0.100559034,299.071747
1393,0.100680538,299.051551
1394,0.093040772,299.055122
1396,0.098374121,299.03843
1397,0.099924058,299.011422
1398,0.097392723,299.048369
1399,0.09668418,299.012856
1401,0.099734791,299.013406
1402,0.096831739,299.001111
1404,0.09667176,298.952113
1406,0.096473143,298.959817
1409,0.097659826,298.914431
1411,0.097267769,298.895203
1412,0.097017996,298.889693
1415,0.097145341,298.88247
1416,0.10192062,298.85152
1419,0.096631981,298.821971
1420,0.093445115,298.845289
1421,0.094332539,298.849422
1423,0.098796494,298.83643
1425,0.100565955,298.797653
1426,0.095302165,298.769353
1427,0.095333569,298.805317
1428,0.096034065,298.786863
1429,0.095335051,298.774019
1431,0.100322627,298.77634
1433,0.09459573,298.749817
1435,0.095315963,298.713178
1438,0.095538601,298.70627
1439,0.098148502,298.712033
1441,0.093195893,298.708399
1443,0.096457042,298.654644
1444,0.095239408,298.661485
1446,0.094011895,298.654233
1447,0.095368102,298.615074
1450,0.093683399,298.6089
1451,0.096570805,298.615799
1454,0.094281495,298.588382
1455,0.091938183,298.583236
1457,0.094352193,298.560077
1459,0.093741082,298.520685
1460,0.097515255,298.537067
1461,0.094676107,298.519706
1462,0.098514333,298.500998
1464,0.09524224,298.514324
1466,0.098066613,298.489566
1468,0.090157226,298.464748
1469,0.092392728,298.449189
1470,0.091996185,298.451546
1472,0.095743179,298.477665
1474,0.089255109,298.411056
1475,0.092973627,298.435298
1476,0.095909663,298.413628
1477,0.097970687,298.388239
1479,0.09692502,298.38929
1480,0.09490563,298.368865
1482,0.096020281,298.377697
1485,0.093794957,298.368812
1486,0.096147202,298.350509
1488,0.093752295,298.322173
1490,0.096376888,298.306098
1492,0.096788585,298.284766
1493,0.098085918,298.292163
1495,0.095880575,298.258366
1496,0.101295508,298.239866
1497,0.091079295,298.257412
1498,0.093879782,298.209442
1499,0.097546197,298.237715
1501,0.095345043,298.208796
1502,0.093601152,298.211438
1503,0.095674254,298.190494
1504,0.094104894,298.20479
1506,0.09310858,298.196353
1508,0.09739846,298.176496
1509,0.095808111,298.182214
1510,0.097192578,298.142322
1512,0.09503445,298.12069
1515,0.093448356,298.140222
1517,0.093601018,298.132269
1518,0.093279764,298.117818
1519,0.096302629,298.109957
1520,0.091288649,298.104981
1521,0.093155026,298.09534
1523,0.094793074,298.054587
1524,0.097148448,298.070099
1527,0.094449669,298.064437
1528,0.093879171,298.056015
1531,0.093985796,298.03089
1533,0.09711054,297.998504
1534,0.093595721,297.989512
1536,0.095581278,297.977366
1538,0.096876845,297.951811
1539,0.09524563,297.920408
1541,0.094148234,297.937555
1543,0.092643254,297.921417
1545,0.093792871,297.931363
1548,0.094514117,297.873562
1551,0.094230488,297.859764
1552,0.091513127,297.862182
1554,0.093197212,297.856918
1556,0.089780092,297.829708
1558,0.092298463,297.808605
1559,0.091477014,297.799459
