Time,Abs1,Temp1,Abs2,Temp2
1174,0.216756225,300.337582,0.102901422,300.791098
1175,0.215756267,300.35387,0.098421007,300.758085
1178,0.217588633,300.339893,0.100120999,300.759738
1180,0.215348348,300.375004,0.100025825,300.711802
1181,0.213736296,300.420651,0.101535,300.720608
1184,0.215258077,300.416829,0.09965194,300.678897
1193,0.212206826,300.492852,0.102668621,300.633867
1195,0.215224728,300.540923,0.098978877,300.5627
1196,0.215591446,300.560813,0.10081549,300.565496
1203,0.217753872,300.614671,0.100297973,300.53168
1205,0.214065611,300.661251,0.102525421,300.517219
1208,0.21298334,300.692538,0.099608116,300.465599
1209,0.212769374,300.703983,0.104142904,300.452317
1212,0.214185,300.699779,0.106094189,300.43548
1216,0.212926358,300.766772,0.100301333,300.375227
1218,0.212597907,300.76504,0.099982254,300.384989
1223,0.21213755,300.847477,0.103888556,300.350838
1225,0.211670384,300.848749,0.102179386,300.330337
1228,0.211687118,300.915014,0.101641566,300.264793
1230,0.209374219,300.923524,0.099208966,300.253096
1231,0.211976111,300.936584,0.101332054,300.258565
1234,0.209074631,300.961994,0.103022859,300.222266
1237,0.209727734,300.974251,0.105298273,300.197688
1239,0.209270865,300.993615,0.105105333,300.180202
1244,0.206120074,301.05842,0.105296522,300.163096
1247,0.203208804,301.065755,0.105584048,300.09628
1252,0.203580275,301.126655,0.106056221,300.036974
1254,0.205600321,301.149747,0.104979359,300.029568
1256,0.202140346,301.140621,0.104281768,300.017791
1258,0.200201958,301.1837,0.105975002,300.02322
1260,0.202030569,301.20156,0.110703886,299.976535
1262,0.201392278,301.247234,0.106076345,299.943947
1267,0.198924407,301.269185,0.109253772,299.930582
1271,0.198815942,301.317103,0.112480916,299.872847
1275,0.195659936,301.377165,0.110031165,299.841011
1278,0.196890548,301.401671,0.113661066,299.834834
1279,0.197761491,301.378275,0.112925023,299.811604
1281,0.192984596,301.405305,0.109648943,299.809179
1284,0.197913393,301.462708,0.1104175,299.75528
1287,0.19539839,301.467737,0.112590604,299.729969
1289,0.194894493,301.511376,0.110757537,299.729827
1290,0.198109463,301.501246,0.108214431,299.705124
1292,0.194607645,301.519795,0.110339828,299.67732
1294,0.194615915,301.553747,0.099225096,299.675018
1297,0.193266273,301.574557,0.108047545,299.658863
1299,0.193376035,301.601278,0.10696236,299.64961
1304,0.191323802,301.654648,0.10670957,299.593092
1307,0.193038821,301.683088,0.100630865,299.579519
1309,0.194818437,301.686149,0.105565071,299.556992
1310,0.193982586,301.692929,0.104397893,299.527462
1313,0.192124829,301.706879,0.103879251,299.536956
1317,0.191901073,301.784742,0.102980033,299.497844
1319,0.191003695,301.773106,0.098613694,299.464257
1320,0.192115918,301.786099,0.100322336,299.461655
1323,0.190077007,301.829004,0.101399206,299.427973
1325,0.190394834,301.839059,0.102361329,299.424344
1328,0.189204991,301.872493,0.101218447,299.444039
1330,0.189572677,301.902382,0.100343764,299.365004
1331,0.189731047,301.883823,0.102862023,299.359575
1335,0.188083336,301.915012,0.096592143,299.329173
1337,0.186459482,301.985769,0.099178158,299.317952
1340,0.186084986,301.981843,0.097866572,299.297157
1344,0.185134709,302.045847,0.097531646,299.275341
1346,0.184114039,302.025981,0.097213887,299.23604
1349,0.187684238,302.062486,0.098379418,299.222867
1350,0.183214545,302.076178,0.096911818,299.20512
1351,0.183963686,302.095094,0.099674806,299.224133
1354,0.182889432,302.121595,0.09568461,299.195348
1355,0.184695065,302.123799,0.096821517,299.18879
1356,0.182706773,302.123799,0.096619919,299.182766
1359,0.182716355,302.166184,0.093930744,299.144192
1360,0.182627291,302.185295,0.100872405,299.141888
1365,0.186330929,302.234082,0.096193008,299.088599
1367,0.182380214,302.24073,0.098613307,299.086869
1370,0.182049349,302.265781,0.093040772,299.055122
1373,0.188983575,302.305195,0.099924058,299.011422
1377,0.177198812,302.308457,0.099734791,299.013406
1380,0.190760031,302.349508,0.09667176,298.952113
1382,0.190291509,302.353735,0.096473143,298.959817
1387,0.186376214,302.402474,0.097267769,298.895203
1392,0.185983092,302.434143,0.10192062,298.85152
1396,0.176262096,302.502312,0.093445115,298.845289
1399,0.187739521,302.516801,0.098796494,298.83643
1403,0.175378159,302.547121,0.095333569,298.805317
